,nv,ret,max_d
2023/6/15,1.34099317,0,-0.015780119
2023/6/16,1.344593248,0.002684636,-0.013137847
2023/6/19,1.354427248,0.007313736,-0.005920197
2023/6/20,1.357199248,0.002046622,-0.003885692
2023/6/21,1.376735248,0.014394349,0
2023/6/26,1.395113169,0.013348915,0
2023/6/27,1.408225857,0.009399014,0
2023/6/28,1.406425857,-0.001278204,-0.001278204
2023/6/29,1.412401857,0.004249069,0
2023/6/30,1.404481857,-0.005607469,-0.005607469
2023/7/3,1.386017742,-0.013146567,-0.018680317
2023/7/4,1.386054286,2.63656E-05,-0.018654444
2023/7/5,1.396350286,0.00742828,-0.011364734
2023/7/6,1.405788286,0.006759049,-0.0046825
2023/7/7,1.407353806,0.001113625,-0.00357409
2023/7/10,1.414202458,0.004866332,0
2023/7/11,1.404194458,-0.00707678,-0.00707678
2023/7/12,1.411754458,0.00538387,-0.001731011
2023/7/13,1.388426458,-0.01652412,-0.018226528
2023/7/14,1.389218458,0.00057043,-0.017666495
2023/7/18,1.403258458,0.010106402,-0.007738637
2023/7/19,1.403618458,0.000256546,-0.007484077
2023/7/20,1.409387005,0.004109769,-0.003405066
2023/7/21,1.412699005,0.002349958,-0.00106311
2023/7/24,1.404779005,-0.00560629,-0.00666344
2023/7/25,1.444994516,0.028627642,0
2023/7/26,1.444994516,0,0
2023/7/27,1.440714235,-0.002962143,-0.002962143
2023/7/28,1.406553072,-0.023711269,-0.026603176
2023/7/31,1.409756451,0.002277467,-0.024386296
2023/8/1,1.415036451,0.003745328,-0.020732303
2023/8/2,1.425530451,0.007416063,-0.013469992
2023/8/3,1.414772451,-0.007546664,-0.020915003
2023/8/4,1.408766451,-0.004245206,-0.02507142
2023/8/7,1.422301792,0.009607938,-0.015704367
2023/8/8,1.417819219,-0.003151633,-0.018806505
2023/8/9,1.419601219,0.00125686,-0.017573282
2023/8/10,1.420855219,0.000883347,-0.016705459
2023/8/11,1.439681307,0.013249828,-0.003676975
2023/8/14,1.430537307,-0.006351406,-0.010005027
2023/8/15,1.42320165,-0.005127903,-0.015081625
2023/8/16,1.429114258,0.004154442,-0.010989839
2023/8/17,1.438258258,0.006398369,-0.004661787
2023/8/18,1.417666258,-0.014317317,-0.018912361
2023/8/21,1.398010258,-0.01386504,-0.03251518
2023/8/22,1.406443998,0.006032673,-0.02667866
2023/8/23,1.414374363,0.005638593,-0.021190497
2023/8/24,1.430368432,0.011308229,-0.010121896
2023/8/25,1.437794913,0.005192006,-0.004982443
2023/8/28,1.452955757,0.010544511,0
2023/8/29,1.453644307,0.000473896,0
2023/8/30,1.454508307,0.000594368,0
